time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
1.0,1.3805706640954551,-0.4745486681933231,0.7470528383753154,2.2026,-4.4439,1.1798,2.2026,0.5545,1.159
1.01,1.4233,-0.4676,0.7784,5.287,-3.2081,3.2396,5.287,0.43520746350867423,1.2938552097677405
1.02,1.4233,-0.4676,0.7784,5.287,-3.2081,3.2396,5.287,0.13694252272101332,1.2474033599559349
1.03,1.3423468878420366,-0.39238372256189236,0.5150939961912397,5.287,-3.2081,3.2396,5.287,0.1305,1.2464
1.04,1.2596065851458353,-0.31550690588353214,0.24597502255186943,5.287,-3.2081,3.2396,5.287,0.1305,1.2464
1.05,1.2582,-0.3142,0.2414,3.7178,-1.4162,-2.0201,3.7178,0.01993009560229536,0.9826794646271506
1.06,1.2582,-0.3142,0.2414,3.7178,-1.4162,-2.0201,3.7178,0.20597216061185597,0.9008439005736131
1.07,1.0298911890120717,-0.1612574083217363,0.21213757349970794,3.7178,-1.4162,-2.0201,3.7178,0.2088,0.8996
1.08,0.7980585214776214,-0.005954207998561445,0.1824234929754473,3.7178,-1.4162,-2.0201,3.7178,0.2088,0.8996
1.09,0.7417,0.0318,0.1752,-1.2595,2.4766,-2.6135,-1.2595,0.913044157111495,0.6016126860209772
1.1,0.7417,0.0318,0.1752,-1.2595,2.4766,-2.6135,-1.2595,1.2686593478084132,0.3096715621696311
1.11,0.5400266149870784,0.03498279373765013,0.2242921821958762,-1.2595,2.4766,-2.6135,-1.2595,1.2858,0.2956
1.12,0.32814031007751876,0.038326766985864125,0.2758704362365103,-1.2595,2.4766,-2.6135,-1.2595,1.2858,0.2956
1.1300000000000001,0.3235,0.0384,0.277,-5.1252,3.0793,-1.7631,-5.1252,1.1795831463711288,0.0685055007433431
1.1400000000000001,0.3235,0.0384,0.277,-5.1252,3.0793,-1.7631,-5.1252,0.9802318826868452,0.018093282876063238
1.1500000000000001,0.3295109901292359,0.06116890200468151,0.2931659204233239,-5.1252,3.0793,-1.7631,-5.1252,0.9593,0.0128
1.1600000000000001,0.3362271802177675,0.08660901597639205,0.31122840134323837,-5.1252,3.0793,-1.7631,-5.1252,0.9593,0.0128
1.1700000000000002,0.3367,0.0884,0.3125,-4.9089,3.7535,-1.4615,-4.9089,1.0324587871098734,0.0630203044912461
1.1800000000000002,0.3367,0.0884,0.3125,-4.9089,3.7535,-1.4615,-4.9089,1.2546358995178908,0.08088379091601133
1.1900000000000002,0.41387228706233015,0.118922850757388,0.25913692078470263,-4.9089,3.7535,-1.4615,-4.9089,1.322,0.0863
1.2000000000000002,0.5246247082195191,0.16272717159175604,0.18255385646883474,-4.9089,3.7535,-1.4615,-4.9089,1.322,0.0863
1.2100000000000002,0.5597,0.1766,0.1583,-2.6396,4.777,-3.0182,-2.6396,1.513168379879527,-0.07895665336775427
1.2200000000000002,0.5597,0.1766,0.1583,-2.6396,4.777,-3.0182,-2.6396,1.1927428146757402,-0.21812586247359822
1.2300000000000002,0.6050300780468286,0.13061769061436812,0.23220596357814766,-2.6396,4.777,-3.0182,-2.6396,1.1334,-0.2439
1.2400000000000002,0.6606634580748458,0.07418383029817806,0.3229103862317404,-2.6396,4.777,-3.0182,-2.6396,1.1334,-0.2439
1.2500000000000002,0.6709,0.0638,0.3396,-1.3192,3.9157,-1.4711,-1.3192,0.5798446093146862,-0.15046393344197007
